scope,category_slug,product_match,text,hide_if_same_category
universal,,,Hayal etmesi bedava — şimdilik 🥲,0
universal,,,Listeme yazdım. Listeye baktım.,0
universal,,,Belki seneye 🤞,0
universal,,,Vitrinden sevmek de sayılır,0
universal,,,Sepette bekliyor — ben de,0
universal,,,Fotoğrafını kaydettim · o da bir şey,0
universal,,,Fiyat etiketine uzun uzun baktım,0
universal,,,Nazar değmesin diye almadım (evet ondan),0
universal,,,Hayal listem kabarık · keyfim yerinde sayılır,0
universal,,,Bu da benim vitrin turum 🚶,0
universal,,,İhtiyaç listesi değil · hayal listesi,0
universal,,,Kısmetse önümüzdeki hayata 🥲,0
universal,,,Hesap makinesi açtım · kapattım,0
universal,,,İndirimi bekliyorum · üç senedir,0
universal,,,Rüyamda kullandım · güzeldi,0
kategori,otomobil,,Özür dilerim hayatım · kısmetse 10 sene sonra 🥲,0
kategori,otomobil,,Toplu taşımayla devam 🚌,1
kategori,otomobil,,Direksiyon hayal · koltuk minibüs 🥲,1
kategori,otomobil,,Ehliyet hazır · gerisi detay,0
kategori,otomobil,,Test sürüşü yaptım · en uzunundan,1
kategori,otomobil,,Galeri camından sevdim,1
kategori,otomobil,,Anahtarlığını aldım · başlangıç bu 🔑,0
kategori,otomobil,,Park yeri bakmıştım · erkenmiş 🥲,0
kategori,telefon,,Ekranım çatlak · hayalim sağlam 🥲,1
kategori,telefon,,Şarjım da hayallerim gibi %1,1
kategori,telefon,,Kılıfını beğendim · telefonu da beğenirdim,0
kategori,telefon,,Kamera karşılaştırma videolarında yaşıyorum 🎥,0
kategori,telefon,,Eskisi idare ediyor · ben etmiyorum,1
kategori,telefon,,Hafızam dolu · telefonunki de,0
kategori,oyun-konsolu,,6 inç ekrandan devam ke 🥲,0
kategori,oyun-konsolu,,Oynanış videolarından tamamlıyorum 🎮,0
kategori,oyun-konsolu,,Kumandası elimde · konsolu hayalimde,0
kategori,oyun-konsolu,,Komşunun çocuğuna çok iyi davranıyorum bu aralar,0
kategori,oyun-konsolu,,Save dosyam hazır · konsol bekliyor,0
kategori,televizyon,,Bütün eşyalar akıllı olmak zorunda mı?,0
kategori,televizyon,,Maç yine komşuda 📺,1
kategori,televizyon,,Dizi finalini telefondan izledim 🥲,1
kategori,televizyon,,Duvarda yeri hazır · ölçüsünü bile aldım,0
kategori,televizyon,,Sinema keyfi · fragman kalitesinde,0
kategori,akilli-saat,,Adımlarımı içimden sayıyorum 🥲,0
kategori,akilli-saat,,Kalp ritmim: fiyatı görünce yükseldi,0
kategori,akilli-saat,,Saat kaç diye telefona bakmaya devam ⌚,0
kategori,bilgisayar-tablet,,Ders notları telefonda · gözlerim feda 🥲,0
kategori,bilgisayar-tablet,,Render'ı yine sabaha bıraktım,0
kategori,bilgisayar-tablet,,Sekiz sekme açınca ısınıyoruz beraber 💻,0
kategori,bilgisayar-tablet,,Çizim tablet'te güzel olurdu · defter de idare ediyor,0
kategori,beyaz-esya,,Elde yıkamaya devam 🧺,0
kategori,beyaz-esya,,Annemin mutfak robotu yine benim 🥣,0
kategori,beyaz-esya,,Bulaşıklar makinede olacaktı · bende kaldı,0
kategori,beyaz-esya,,Çeyiz listesi uzun · sabrımız da,0
kategori,beyaz-esya,,Kahvem cezvede · hayalim makinede ☕,0
kategori,kozmetik,,Kokusunu mağazada denedim · o kadar 🥲,0
kategori,kozmetik,,Tester'la idare ediyoruz 🌸,0
kategori,kozmetik,,Özel günlere saklıyorum · almayı da,0
kategori,akaryakit,,Depo dolusu hayal ⛽,0
kategori,akaryakit,,Yarım depoyla tam hayaller,0
kategori,akaryakit,,Rölantide bile düşünüyorum 🥲,0
kategori,akaryakit,,Deponun çoğu hep kuru,0
kategori,akaryakit,,"Ya zaten kullanmazsam az yakıyor, boşver",0
kategori,akaryakit,,En güzel yol · eve dönüş yolu (mecburen),0
kategori,saglik,,Sağlık hayal listesinde olmamalıydı,0
kategori,saglik,,Kendime bakmak da hayal oldu 🥲,0
kategori,saglik,,Önce sağlık · sonra her şey,0
kategori,kitap,,Kitaplığımda yeri hazır 📚,0
kategori,kitap,,Sayfa koklamak bedava · şimdilik,0
kategori,kitap,,Okuma listem kabarık · rafım sakin,0
kategori,kitap,,Kitapçıda uzun uzun gezdim · yine,0
kategori,kitap,,Okudukça liste uzuyor · bütçe uzamıyor,0
kategori,kitap,,Özeti yetmedi · aslını istiyorum 🥲,0
kategori,kultur-sanat,,Perde açıldı · ben dışarıdaydım 🎭,0
kategori,kultur-sanat,,Fragmanla idare ediyoruz 🎬,0
kategori,kultur-sanat,,Konseri storylerden izledim 🥲,0
kategori,kultur-sanat,,Alkışı içimden tuttum,0
kategori,tatil,,Pasaportum vitrinde bekliyor 🥲,0
kategori,tatil,,Tatilim ekran koruyucumda 🏖️,0
kategori,tatil,,Valizim hazır · on senedir,0
kategori,tatil,,Deniz görselleriyle serinliyorum 🌊,0
kategori,tatil,,Yol videolarıyla geziyorum · ekonomik,0
kategori,egitim,,Kursu hayal etmek de bir eğitim 🥲,0
kategori,egitim,,YouTube'dan hallediyoruz · yarım yamalak,0
kategori,egitim,,Öğrenme aşkım tam · bütçem yarım,0
kategori,oyuncak,,Yeğen sordu · dayı sustu 🥲,0
kategori,oyuncak,,Oyuncakçı önünde uzun duruş yaptık,0
kategori,oyuncak,,Kutusuna bile razıydık,0
kategori,harclar,,Hayalin bile harcı var 🥲,0
kategori,harclar,,Bunun tamamı harç · evet tamamı,0
kategori,bagis,,İyilik hayali bile güzel ❤️,0
kategori,bagis,,Paylaşmak da bir zenginlik,0
kategori,bagis,,Keşke diyorum · keşke yapabilseydim,0
urun,oyun-konsolu,PlayStation 5,Boss'u yenemedim · bütçeyi de 🥲,0
urun,oyun-konsolu,PlayStation 5,PS5 hayal · PS2 anıları gerçek,0
urun,oyun-konsolu,PlayStation 5,Yükleme ekranı bile güzeldir onun,0
urun,oyun-konsolu,Nintendo Switch,Mario bensiz koşuyor 🍄,0
urun,oyun-konsolu,Nintendo Switch,Aile turnuvası ertelendi · süresiz,0
urun,oyun-konsolu,Xbox Series X,Buzdolabı sanıp açmayacağım · söz 🥲,0
urun,telefon,iPhone 17 Pro Max,Kamerasıyla çekilmiş videoları izliyorum · kendi telefonumdan,0
urun,telefon,iPhone 17 Pro Max,Pro'su da Max'ı da hayali de güzel 🥲,0
urun,telefon,iPhone 17 Pro Max 512,512 GB hayal · bendeki 64'ün yarısı dolu dert,0
urun,otomobil,Togg,Yerli hayal · yerinde duruyor 🥲,0
urun,otomobil,Togg,Sessiz gider dediler · ben hâlâ sesini bekliyorum,0
urun,otomobil,Clio,Clio hayali kurmak da bir klasik,0
urun,otomobil,Duster,Araziye değil işe gidecektim · o da olmadı 🥲,1
urun,otomobil,500e,Küçük araba · büyük hayal 🥲,0
urun,akaryakit,1 Yıllık Yakıtım,Bir yıl boyunca depo derdi yok · hayalde,0
urun,akaryakit,40 Litre Benzin,Full çektir dedim · rüyamda ⛽,0
urun,beyaz-esya,Espresso,Baristam ben olacaktım 🥲 ☕,0
urun,beyaz-esya,Dondurma,Yaz geldi · makine gelmedi 🍦,0
urun,beyaz-esya,Dondurma,Aslında meyveyi dondursam da olur sanki..,0
urun,beyaz-esya,Çamaşır,"Amaan, komşular gürültüye alıştı zaten.",0
urun,beyaz-esya,Buzdolabı,Elektriği çok yakıyor ama azar azar yakıyor :(,0
urun,bilgisayar-tablet,MacBook Pro,Pro işler · amatör bütçe 🥲,0
urun,oyuncak,LEGO,Parça parça biriktirsem mi 🧱,0
urun,oyuncak,Barbie,Kızımın listesinde bir numara · benimkinde de,0
urun,tatil,Kapadokya,Balonlar bensiz uçuyor 🎈,0
urun,tatil,Madrid,İspanyolca öğrendim · gidemedim 🥲,0
urun,egitim,Dershane,Evladın hayali · babanın hesabı 🥲,0
urun,televizyon,190 Ekran,190 ekran hayal · 6 inç gerçek 🥲,0
urun,kultur-sanat,Sinema Bileti,Vizyonda izlemek başkaymış · duydum 🥲,0
urun,harclar,Pasaport,Hele bunu bir alabileyim · sonra ver elini dünya 🌍,0
urun,harclar,Ehliyet,Ehliyetsiz araba almayı hayal edebiliyor muyuz?,0
urun,harclar,Yurt Dışı Çıkış,Daha çıkmadan ödüyoruz 🥲,0
